iter	Passed	Remaining
685	1884	862
686	1887	859
687	1891	857
688	1894	855
689	1896	851
690	1898	848
691	1900	846
692	1904	843
693	1908	841
694	1909	838
695	1912	835
696	1914	832
697	1918	829
698	1921	827
699	1923	824
700	1925	821
701	1927	818
702	1929	815
703	1933	812
704	1936	810
705	1938	807
706	1940	804
707	1942	801
708	1945	798
709	1948	795
710	1951	793
711	1952	789
712	1954	786
713	1956	783
714	1961	781
715	1964	779
716	1966	776
717	1968	773
718	1970	770
719	1973	767
720	1977	765
721	1979	762
722	1981	759
723	1983	756
724	1985	753
725	1990	751
726	1993	748
727	1995	745
728	1997	742
729	1999	739
730	2002	736
731	2005	734
732	2008	731
733	2009	728
734	2011	725
735	2017	723
736	2021	721
737	2023	718
738	2025	715
739	2027	712
740	2031	710
741	2034	707
742	2038	704
743	2040	701
744	2043	699
745	2047	697
746	2050	694
747	2052	691
748	2054	688
749	2057	685
750	2061	683
751	2064	680
752	2066	677
753	2068	674
754	2070	671
755	2073	669
756	2077	666
757	2079	664
758	2081	661
759	2083	658
760	2087	655
761	2091	653
762	2093	650
763	2096	647
764	2097	644
765	2100	641
766	2103	639
767	2106	636
768	2108	633
769	2110	630
770	2111	627
771	2115	624
772	2118	622
773	2122	619
774	2123	616
775	2125	613
776	2128	610
777	2130	608
778	2134	605
779	2136	602
780	2138	599
781	2140	596
782	2144	594
783	2148	591
784	2150	589
785	2152	586
786	2154	583
787	2157	580
788	2160	577
789	2163	575
790	2166	572
791	2168	569
792	2171	566
793	2175	564
794	2178	561
795	2180	558
796	2182	555
797	2184	553
798	2187	550
799	2191	547
800	2194	545
801	2196	542
802	2200	539
803	2205	537
804	2207	534
805	2209	531
806	2212	529
807	2215	526
808	2219	524
809	2221	521
810	2224	518
811	2226	515
812	2230	513
813	2234	510
814	2236	507
815	2238	504
816	2241	502
817	2246	499
818	2248	496
819	2250	494
820	2253	491
821	2255	488
822	2260	486
823	2262	483
824	2265	480
825	2268	477
826	2271	475
827	2274	472
828	2277	469
829	2279	466
830	2281	464
831	2284	461
832	2288	458
833	2291	456
834	2293	453
835	2295	450
836	2298	447
837	2302	445
838	2304	442
839	2307	439
840	2310	436
841	2314	434
842	2317	431
843	2319	428
844	2321	425
845	2323	422
846	2325	420
847	2329	417
848	2332	414
849	2334	411
850	2337	409
851	2339	406
852	2343	403
853	2345	401
854	2348	398
855	2350	395
856	2352	392
857	2356	390
858	2359	387
859	2362	384
860	2363	381
861	2366	378
862	2370	376
863	2373	373
864	2375	370
865	2377	367
866	2379	365
867	2382	362
868	2385	359
869	2387	356
870	2389	353
871	2391	351
872	2401	349
873	2404	346
874	2406	343
875	2410	341
876	2414	338
877	2417	335
878	2419	333
879	2421	330
880	2424	327
881	2428	324
882	2430	322
883	2433	319
884	2435	316
885	2439	313
886	2443	311
887	2446	308
888	2448	305
889	2451	302
890	2455	300
891	2459	297
892	2462	295
893	2465	292
894	2468	289
895	2470	286
896	2473	284
897	2475	281
898	2480	278
899	2483	275
900	2487	273
901	2489	270
902	2491	267
903	2495	264
904	2501	262
905	2504	259
906	2507	257
907	2512	254
908	2517	251
909	2520	249
910	2530	247
911	2532	244
912	2536	241
913	2538	238
914	2543	236
915	2547	233
916	2549	230
917	2551	227
918	2553	225
919	2557	222
920	2561	219
921	2563	216
922	2565	214
923	2567	211
924	2571	208
925	2574	205
926	2576	202
927	2578	200
928	2580	197
929	2584	194
930	2587	191
931	2590	188
932	2592	186
933	2594	183
934	2598	180
935	2601	177
936	2604	175
937	2606	172
938	2608	169
939	2611	166
940	2615	163
941	2617	161
942	2619	158
943	2622	155
944	2625	152
945	2628	150
946	2630	147
947	2633	144
948	2635	141
949	2637	138
950	2640	136
951	2643	133
952	2646	130
953	2648	127
954	2651	124
955	2653	122
956	2657	119
957	2658	116
958	2661	113
959	2662	110
960	2665	108
961	2669	105
962	2672	102
963	2674	99
964	2676	97
965	2678	94
966	2680	91
967	2684	88
968	2686	85
969	2688	83
970	2691	80
971	2693	77
972	2697	74
973	2699	72
974	2702	69
975	2704	66
976	2706	63
977	2708	60
978	2712	58
979	2715	55
980	2717	52
981	2719	49
982	2721	47
983	2724	44
984	2728	41
985	2731	38
986	2733	35
987	2735	33
988	2737	30
989	2741	27
990	2743	24
991	2745	22
992	2747	19
993	2749	16
994	2752	13
995	2756	11
996	2759	8
997	2761	5
998	2763	2
999	2765	0
